County Code,District Code,School Code,Total Tested At Entity Level,Total Tested with Scores,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percent Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
37,75614,100511,307,307,3,ELA,107,102,2395,16.67,23.53,40.2,21.57,38.24,102
37,68452,100925,309,309,3,ELA,111,110,2434,24.55,23.64,48.18,30,21.82,110
37,68452,100933,309,308,3,ELA,92,92,2389.9,11.96,20.65,32.61,25,42.39,92
37,73569,101071,1089,1073,3,ELA,172,152,2430.5,26,22,48,29.33,22.67,150
37,73569,101071,1089,1073,8,ELA,215,197,2580.1,17.53,39.69,57.22,30.41,12.37,194
37,68338,101204,304,303,8,ELA,102,101,2592.5,18.81,43.56,62.38,23.76,13.86,101
37,68338,101345,308,308,8,ELA,74,74,2537.4,6.76,33.78,40.54,31.08,28.38,74
37,68221,101360,209,209,3,ELA,41,40,2431.2,17.5,37.5,55,30,15,40
37,68221,101360,209,209,8,ELA,36,35,2582.6,11.43,45.71,57.14,37.14,5.71,35
37,68098,101535,501,501,3,ELA,98,95,2440.2,28.42,31.58,60,22.11,17.89,95
37,68098,101535,501,501,8,ELA,75,69,2587.7,14.49,44.93,59.42,31.88,8.7,69
37,68023,101592,626,626,3,ELA,152,149,2464.9,38.93,25.5,64.43,21.48,14.09,149
37,68304,102178,14,14,8,ELA,*,*,*,*,*,*,*,*,*
37,68304,102178,14,14,11,ELA,17,13,2552.8,7.69,30.77,38.46,38.46,23.08,13
37,68098,102590,1050,1050,8,ELA,360,358,2560.2,13.69,33.8,47.49,29.61,22.91,358
37,68098,102608,331,331,3,ELA,109,107,2364.8,5.61,14.02,19.63,28.04,52.34,107
37,68296,102822,484,484,3,ELA,134,131,2472.3,48.09,23.66,71.76,16.79,11.45,131
37,73791,105684,1906,1906,8,ELA,640,629,2611.4,26.07,46.42,72.5,20.35,7.15,629
37,73791,105726,604,603,11,ELA,611,604,2634.9,36.82,37.15,73.96,15.09,10.95,603
37,68452,105882,324,324,3,ELA,109,106,2373,7.55,12.26,19.81,27.36,52.83,106
37,68023,105957,432,432,3,ELA,97,95,2464.5,37.89,32.63,70.53,16.84,12.63,95
37,68023,105965,578,577,3,ELA,124,121,2465.6,43.8,23.97,67.77,19.83,12.4,121
37,68452,106120,109,109,11,ELA,164,109,2498.9,3.67,16.51,20.18,30.28,49.54,109
37,68346,106328,587,587,11,ELA,596,587,2692.2,63.88,23,86.88,9.2,3.92,587
37,68338,106732,99,99,11,ELA,101,99,2656.8,45.45,36.36,81.82,11.11,7.07,99
37,68338,106799,496,494,3,ELA,56,52,2398.3,15.38,11.54,26.92,42.31,30.77,52
37,68338,106799,496,494,8,ELA,89,84,2568.2,10.71,44.05,54.76,28.57,16.67,84
37,68338,106799,496,494,11,ELA,119,113,2620.8,34.51,34.51,69.03,15.93,15.04,113
37,68338,107029,185,185,11,ELA,202,185,2666.6,46.49,38.92,85.41,10.27,4.32,185
37,68338,107052,124,124,11,ELA,147,124,2515.4,4.84,23.39,28.23,29.03,42.74,124
37,68338,107078,83,83,11,ELA,85,83,2665.9,40.96,43.37,84.34,10.84,4.82,83
37,68338,107086,93,93,11,ELA,95,93,2675.3,54.84,32.26,87.1,10.75,2.15,93
37,68338,107094,82,82,11,ELA,87,82,2670.8,46.34,40.24,86.59,10.98,2.44,82
37,68338,107102,66,66,11,ELA,67,66,2648.7,37.88,36.36,74.24,19.7,6.06,66
37,68338,107177,240,240,11,ELA,262,240,2536.9,11.25,25.42,36.67,26.25,37.08,240
37,68338,107219,130,130,11,ELA,134,130,2585.1,16.15,36.15,52.31,31.54,16.15,130
37,68338,107482,21,21,11,ELA,26,21,2591.2,19.05,33.33,52.38,33.33,14.29,21
37,73551,107557,500,500,8,ELA,140,138,2596.9,26.09,37.68,63.77,20.29,15.94,138
37,68338,107573,300,300,8,ELA,102,101,2573.7,17.82,36.63,54.46,26.73,18.81,101
