County Code,District Code,School Code,Total Tested At Entity Level,Total Tested with Scores,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
37,75614,100511,309,309,3,MATH,107,102,2381.1,4.9,21.57,26.47,29.41,44.12,102
37,68452,100925,313,313,3,MATH,111,111,2439.9,15.32,38.74,54.05,27.93,18.02,111
37,68452,100933,309,309,3,MATH,92,92,2410.5,13.04,22.83,35.87,25,39.13,92
37,73569,101071,1089,1071,3,MATH,172,152,2426.9,13.91,32.45,46.36,26.49,27.15,151
37,73569,101071,1089,1071,8,MATH,215,197,2567.7,22.05,20,42.05,33.33,24.62,195
37,68338,101204,304,304,8,MATH,102,101,2549.4,15.84,20.79,36.63,27.72,35.64,101
37,68338,101345,308,308,8,MATH,74,74,2518.2,9.46,14.86,24.32,36.49,39.19,74
37,68221,101360,212,212,3,MATH,41,41,2453.1,26.83,41.46,68.29,17.07,14.63,41
37,68221,101360,212,212,8,MATH,36,36,2569.9,16.67,38.89,55.56,22.22,22.22,36
37,68098,101535,502,502,3,MATH,98,95,2435.9,12.63,36.84,49.47,29.47,21.05,95
37,68098,101535,502,502,8,MATH,75,69,2581.2,21.74,33.33,55.07,24.64,20.29,69
37,68023,101592,629,629,3,MATH,152,151,2473.7,34.44,35.76,70.2,21.19,8.61,151
37,68304,102178,12,12,8,MATH,*,*,*,*,*,*,*,*,*
37,68304,102178,12,12,11,MATH,17,11,2484.3,0,0,0,27.27,72.73,11
37,68098,102590,1058,1058,8,MATH,360,360,2528.2,14.17,15.83,30,27.22,42.78,360
37,68098,102608,339,339,3,MATH,109,109,2386.7,6.42,22.02,28.44,25.69,45.87,109
37,68296,102822,488,488,3,MATH,134,133,2497.2,48.12,33.83,81.95,14.29,3.76,133
37,73791,105684,1915,1915,8,MATH,640,633,2595.5,30.65,23.22,53.87,28.12,18.01,633
37,73791,105726,604,604,11,MATH,611,604,2581.6,14.24,23.18,37.42,25.17,37.42,604
37,68452,105882,329,327,3,MATH,109,109,2400.1,7.34,23.85,31.19,30.28,38.53,109
37,68023,105957,432,432,3,MATH,97,95,2474.8,46.32,24.21,70.53,21.05,8.42,95
37,68023,105965,583,583,3,MATH,124,121,2466.1,31.4,36.36,67.77,19.01,13.22,121
37,68452,106120,112,112,11,MATH,164,112,2435.1,0,1.79,1.79,8.04,90.18,112
37,68346,106328,589,589,11,MATH,596,589,2704.7,49.75,25.98,75.72,16.3,7.98,589
37,68338,106732,99,99,11,MATH,101,99,2602.9,11.11,32.32,43.43,25.25,31.31,99
37,68338,106799,496,495,3,MATH,56,52,2383.4,5.77,13.46,19.23,30.77,50,52
37,68338,106799,496,495,8,MATH,89,84,2506.6,7.14,13.1,20.24,32.14,47.62,84
37,68338,106799,496,495,11,MATH,119,113,2531.1,3.54,15.93,19.47,19.47,61.06,113
37,68338,107029,184,184,11,MATH,202,184,2619.6,23.91,22.83,46.74,25.54,27.72,184
37,68338,107052,129,128,11,MATH,147,129,2493.8,0,10.16,10.16,16.41,73.44,128
37,68338,107078,83,83,11,MATH,85,83,2591.9,13.25,22.89,36.14,30.12,33.73,83
37,68338,107086,93,93,11,MATH,95,93,2602.3,9.68,25.81,35.48,40.86,23.66,93
37,68338,107094,82,82,11,MATH,87,82,2600.9,9.76,32.93,42.68,34.15,23.17,82
37,68338,107102,66,66,11,MATH,67,66,2610.9,12.12,27.27,39.39,37.88,22.73,66
37,68338,107177,238,237,11,MATH,262,238,2512.9,1.69,10.55,12.24,29.96,57.81,237
37,68338,107219,129,128,11,MATH,134,129,2539.8,7.81,10.16,17.97,30.47,51.56,128
37,68338,107482,22,22,11,MATH,26,22,2544,4.55,0,4.55,50,45.45,22
37,73551,107557,502,502,8,MATH,141,140,2579.9,30,22.86,52.86,20,27.14,140
37,68338,107573,301,301,8,MATH,102,101,2531.2,11.88,21.78,33.66,25.74,40.59,101
37,68098,107862,302,302,3,MATH,100,97,2434.4,16.49,39.18,55.67,27.84,16.49,97
37,68098,107870,258,258,3,MATH,68,67,2471.5,35.82,38.81,74.63,11.94,13.43,67
37,68338,108266,218,217,3,MATH,42,42,2431.9,14.29,38.1,52.38,23.81,23.81,42
37,68338,108266,218,217,8,MATH,39,39,2487.3,10.26,2.56,12.82,33.33,53.85,39
37,68338,108274,488,488,3,MATH,173,168,2387,5.95,21.43,27.38,26.19,46.43,168
37,68338,108282,182,182,3,MATH,68,64,2401.5,9.38,21.88,31.25,28.13,40.63,64
37,68338,108290,248,248,3,MATH,78,77,2430.3,14.29,35.06,49.35,22.08,28.57,77
37,68296,108332,1355,1355,8,MATH,444,436,2650.8,53.67,19.72,73.39,16.51,10.09,436
37,68338,108548,276,276,3,MATH,45,42,2392.1,14.29,14.29,28.57,23.81,47.62,42
37,68338,108548,276,276,8,MATH,41,41,2491.7,14.63,9.76,24.39,19.51,56.1,41
37,67991,108563,240,240,3,MATH,80,80,2430.3,11.25,36.25,47.5,28.75,23.75,80
37,68023,108662,493,492,3,MATH,111,111,2484,37.84,43.24,81.08,16.22,2.7,111
37,68338,108787,92,92,11,MATH,93,92,2594.8,13.04,28.26,41.3,21.74,36.96,92
37,68338,109033,183,183,3,MATH,63,62,2410.6,3.23,38.71,41.94,20.97,37.1,62
37,68338,109041,188,188,3,MATH,67,67,2403.5,4.48,26.87,31.34,35.82,32.84,67
37,68338,109157,412,412,8,MATH,146,142,2617.4,40.85,16.9,57.75,23.94,18.31,142
37,73791,109785,43,43,3,MATH,*,*,*,*,*,*,*,*,*
37,73791,109785,43,43,8,MATH,*,*,*,*,*,*,*,*,*
37,73791,109785,43,43,11,MATH,11,11,2560.6,0,18.18,18.18,36.36,45.45,11
37,68056,110114,348,348,3,MATH,79,79,2494.5,44.3,31.65,75.95,21.52,2.53,79
37,76851,110122,292,291,3,MATH,85,83,2448.6,25.61,34.15,59.76,18.29,21.95,82
37,67991,111005,592,592,8,MATH,213,200,2564.8,26,16.5,42.5,24,33.5,200
37,68296,111187,499,499,3,MATH,161,160,2508.5,54.38,28.13,82.5,9.38,8.13,160
37,68106,111195,277,272,11,MATH,295,277,2620.5,20.96,26.1,47.06,27.57,25.37,272
37,68452,111237,272,269,3,MATH,88,85,2391.5,8.33,16.67,25,27.38,47.62,84
37,73791,111468,563,563,3,MATH,181,178,2482.9,44.38,32.58,76.97,12.92,10.11,178
37,68411,111831,666,664,11,MATH,683,666,2605.4,14.91,29.37,44.28,27.86,27.86,664
37,68338,111864,141,141,3,MATH,60,59,2458.4,27.12,38.98,66.1,18.64,15.25,59
37,68338,111898,596,596,8,MATH,198,198,2589,30.3,20.2,50.51,29.29,20.2,198
37,68338,111906,348,348,8,MATH,119,119,2484.1,4.2,10.92,15.13,26.05,58.82,119
37,73551,113498,269,269,3,MATH,83,83,2470.3,36.14,37.35,73.49,12.05,14.46,83
