CDSCode,District,School,Street,StreetAbr,City,Zip Code,State,Phone,OpenDate,Charter,DOCType,SOC,SOCType,GSoffered,Latitude,Longitude,LastUpdate,2016-2017 Total Enrollment,2015-2016 ELA Current Status (avg. distance from level 3),2015-2016 ELA Prior Status (avg. Distance from level 3),2015-2016 ELA Status Level,2015-2016 Math Current Status (avg. distance from level 3),2015-2016 Math Prior Status (avg. Distance from level 3),2015-2016 Math Change,2016-2017 English Language Learners,2016-2017 % English Language Learners,2016-2017 FRPM Count,2016-2017 % FRPM Count,2015-2016 Enrollment Grades 10-12,2015-2016 AP Number Tested,2015-2016 % AP Number Tested,2015-2016 AP Score = 1,2015-2016 AP Score = 2,2015-2016 AP Score = 3,2015-2016 AP Score = 4,2015-2016 AP Score = 5,% 2015-2016 AP Score = 1,% 2015-2016 AP Score = 2,% 2015-2016 AP Score = 3,% 2015-2016 AP Score = 4,% 2015-2016 AP Score = 5
37683383730751,San Diego Unified,Mt. Everest Academy,4350 Mount Everest Boulevard,4350 Mt. Everest Blvd.,San Diego,92117-4847,CA,(858) 496-8778,,N,Unified School District,,Alternative Schools of Choice,K-12,32.820017,-117.1861,3/17/2017,276,70.3,54.1,5,49.1,37.2,11.9,5,2%,59,21%,94,46,49%,2,16,24,17,25,4%,35%,52%,37%,54%
37684520118430,Vista Unified,Mission Vista High,1306 Melrose Drive,1306 Melrose Dr.,Oceanside,92057-4649,CA,(760) 758-6800,,N,Unified School District,,Alternative Schools of Choice,9-12,33.25599,-117.26381,6/18/2015,1634,86.6,96.3,0,4.5,9.5,-5,17,1%,408,25%,1128,476,42%,136,272,283,146,64,29%,57%,59%,31%,13%
37683380118315,San Diego Unified,East Village High,1405 Park Boulevard,1405 Park Blvd.,San Diego,92101-4717,CA,(619) 525-2000,,N,Unified School District,,Alternative Schools of Choice,9-12,32.720003,-117.15317,3/27/2017,97,0.0,25.5,0,0,0,0,10,10%,84,87%,89,27,30%,14,5,12,3,0,52%,19%,44%,11%,0%
37679676109086,Alpine Union Elementary,Boulder Oaks Elementary,2320 Tavern Road,2320 Tavern Rd.,Alpine,91901-3134,CA,(619) 445-8676,5/1/1990,N,Elementary School District,,Elementary Schools (Public),1-5,32.819163,-116.77617,10/6/2015,270,27.4,-8.9,4,7.3,-11.1,18.4,12,4%,59,22%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37679676037519,Alpine Union Elementary,Alpine Elementary,1850 Alpine Boulevard,1850 Alpine Blvd.,Alpine,91901-3898,CA,(619) 445-2625,7/1/1980,N,Elementary School District,,Elementary Schools (Public),1-5,32.837485,-116.77454,7/19/2016,260,-7.0,-19.1,2,-22.6,-26.6,4,31,12%,116,45%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681896038384,Lakeside Union Elementary,Riverview Elementary,9308 Winter Gardens Boulevard,9308 Winter Gardens Blvd.,Lakeside,92040-4539,CA,(619) 390-2662,9/1/1958,N,Elementary School District,,Elementary Schools (Public),1-5,32.846449,-116.93109,8/13/2015,637,30.1,28.4,4,28.9,13.4,15.5,6,1%,130,20%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37680076037758,Cardiff Elementary,Ada W. Harris Elementary,1508 Windsor Road,1508 Windsor Rd.,Cardiff-by-the-Sea,92007-1356,CA,(760) 632-5894,7/1/1980,N,Elementary School District,,Elementary Schools (Public),3-6,33.03128,-117.27349,10/9/2015,367,49.0,43.8,5,37.9,34.5,3.4,32,9%,46,13%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37681556112205,Jamul-Dulzura Union Elementary,Jamul Intermediate,14545 Lyons Valley Road,14545 Lyons Valley Rd.,Jamul,91935-3324,CA,(619) 669-7900,9/7/1994,N,Elementary School District,,Elementary Schools (Public),4-5,32.730137,-116.85456,6/18/2015,120,-23.6,-37.2,2,-48.5,-49.7,1.1,31,26%,72,60%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37680980131813,Escondido Union,Quantum Academy,420 North Falconer Road,420 North Falconer Rd.,Escondido,92027-5331,CA,(760) 432-2220,8/17/2015,N,Elementary School District,,Elementary Schools (Public),4-6,33.143614,-117.03501,2/11/2016,243,23.2,0.0,4,-16.2,0,0,31,13%,122,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37683796089007,San Ysidro Elementary,La Mirada Elementary,222 Avenida de la Madrid,222 Avenida de la Madrid,San Ysidro,92173-1508,CA,(619) 428-4424,7/1/1980,N,Elementary School District,,Elementary Schools (Public),4-6,32.564207,-117.04606,11/15/2016,495,-53.8,-62.8,2,-66.6,-77.2,10.6,345,70%,392,79%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
