High School,AP Pass Rate,MATH Weighted Mean Ele,ELA Weighted Mean Ele,Sum of ELA & MATH
Mt. Everest Academy; San Diego Unified,0.7857142857142857,2499.204,2480.4327999999996,4979.6368
Mission Vista High; Vista Unified,0.5471698113207547,2436.45,2416.7,4853.15
East Village High; San Diego Unified,0.4411764705882353,2435.253012048193,2424.99156626506,4860.244578313253
Carlsbad Seaside Academy; Carlsbad Unified,,2460.9108280254777,2460.281012658228,4921.191840683706
Hillside Junior/Senior High; Mountain Empire Unified,,2379.0268907563027,2375.301709401709,4754.328600158012
Mountain Valley Academy; Ramona City Unified,,2445.658695652174,2446.791304347826,4892.450000000001
Future Bound Independent Study Secondary; Ramona City Unified,,2427.0456521739134,2423.025,4850.070652173914
San Diego Metro Career and Tech; San Diego Unified,,2438.9389830508476,2415.9829545454545,4854.921937596302
iHigh Virtual Academy; San Diego Unified,,2482.8258992805754,2476.1420289855073,4958.967928266083
Foothills High; San Marcos Unified,,2448.385094850949,2452.069105691057,4900.454200542006
Valley Center Prep; Valley Center-Pauma Unified,,2388.2,2379.7,4767.9
Vista Visions Academy; Vista Unified,,2412.0935483870967,2398.9951871657754,4811.088735552872
River Valley Charter; Lakeside Union Elementary,0.8837209302325582,2454.627819548872,2442.020377358491,4896.648196907363
Mueller Charter (Robert L.); Chula Vista Elementary,1.0,2437.201646090535,2417.252100840336,4854.453746930871
Chula Vista Learning Community Charter; Chula Vista Elementary,0.4,2422.144318181818,2426.0300578034685,4848.174375985287
Inspire Charter School - South; Dehesa Elementary,,2392.080427046263,2398.542857142857,4790.62328418912
Diego Hills Charter; Dehesa Elementary,,2436.015384615385,2433.153846153846,4869.169230769231
Dehesa Charter; Dehesa Elementary,,2407.135294117647,2407.621794871795,4814.757088989441
Greater San Diego Academy; Jamul-Dulzura Union Elementary,,2416.5,2441.0,4857.5
Harbor Springs Charter; Julian Union Elementary,,2390.03595505618,2362.6022727272725,4752.638227783453
Diego Valley Charter; Julian Union Elementary,,2399.6,2343.3,4742.9
Julian Charter; Julian Union Elementary,,2417.5037974683546,2407.707594936709,4825.211392405064
National University Academy; Lakeside Union Elementary,,2419.6841269841266,2414.266666666667,4833.9507936507935
Insight @ San Diego; Spencer Valley Elementary,,,,
California Virtual Academy @ San Diego; Spencer Valley Elementary,,2371.9,2387.3,4759.200000000001
Taylion San Diego Academy; Vallecitos Elementary,,2457.8,2467.4,4925.200000000001
Carlsbad High; Carlsbad Unified,0.8460861917326298,2460.9108280254777,2460.281012658228,4921.191840683706
Sage Creek High; Carlsbad Unified,0.7605633802816901,2469.5794520547943,2482.060273972603,4951.639726027397
Del Norte High; Poway Unified,0.8896136477671851,2496.3532530120483,2481.217274939173,4977.570527951221
Westview High; Poway Unified,0.9033742331288344,2519.0818181818186,2512.586363636364,5031.668181818182
Mt. Carmel High; Poway Unified,0.8095238095238095,2477.6879518072287,2475.3,4952.9879518072285
Poway High; Poway Unified,0.7773876404494382,2465.618232044199,2463.145856353591,4928.76408839779
Scripps Ranch High; San Diego Unified,0.8493723849372385,2467.3554455445546,2447.205076142132,4914.560521686686
La Jolla High; San Diego Unified,0.7772435897435898,2530.7090909090907,2522.175925925926,5052.885016835016
Rancho Bernardo High; Poway Unified,0.7905358385525401,2462.5083333333337,2453.9407407407407,4916.449074074075
Coronado High; Coronado Unified,0.7267876200640342,2477.674576271186,2474.5485714285714,4952.223147699758
Kearny SCT; San Diego Unified,0.45652173913043476,2432.1242603550295,2424.0773809523807,4856.201641307411
San Marcos High; San Marcos Unified,0.7225433526011561,2429.7687830687833,2431.0192513368984,4860.788034405681
Mira Mesa High; San Diego Unified,0.6799637352674524,2440.362040816327,2434.6476793248944,4875.009720141221
Henry High; San Diego Unified,0.7338775510204082,2497.912844036697,2479.9004587155964,4977.813302752294
Mission Bay High; San Diego Unified,0.6588235294117647,2488.0444444444443,2471.867955801105,4959.912400245549
Rancho Buena Vista High; Vista Unified,0.5594405594405595,2450.322047244095,2435.741732283464,4886.063779527559
Mission Hills High; San Marcos Unified,0.6202623906705539,2424.26679245283,2421.1045801526716,4845.371372605501
Valley Center High; Valley Center-Pauma Unified,0.5234899328859061,2379.8044444444445,2387.52,4767.324444444444
Point Loma High; San Diego Unified,0.5499587118084228,2443.0455696202534,2430.2417721518987,4873.287341772152
University City High; San Diego Unified,0.5788923719958202,2496.3552763819093,2480.8809782608696,4977.236254642779
El Camino High; Oceanside Unified,0.563887222555489,2435.352,2414.309714285714,4849.661714285714
San Diego HS International Studies; San Diego Unified,0.43258426966292135,2435.253012048193,2424.99156626506,4860.244578313253
Mountain Empire High; Mountain Empire Unified,0.2920353982300885,2374.71640625,2369.8857142857146,4744.602120535715
Clairemont High; San Diego Unified,0.518005540166205,2499.6860139860137,2484.4412587412585,4984.127272727272
Morse High; San Diego Unified,0.48417721518987344,2388.0236363636363,2361.6327433628317,4749.656379726468
Hoover High; San Diego Unified,0.43717277486910994,2424.5194594594595,2395.379781420765,4819.899240880224
Ramona High; Ramona City Unified,0.39712918660287083,2427.0456521739134,2423.025,4850.070652173914
Serra High; San Diego Unified,0.5058639562157936,2473.182320441989,2461.5011049723753,4934.683425414364
Oceanside High; Oceanside Unified,0.44328922495274103,2397.7245398773007,2368.509090909091,4766.233630786392
Vista High; Vista Unified,0.3609898107714702,2405.686666666667,2388.660074626866,4794.346741293533
Oasis High (Alternative); Fallbrook Union High,,2446.944285714286,2421.145255474453,4868.089541188739
Madison High; San Diego Unified,0.3443526170798898,2416.9969696969697,2401.1107692307696,4818.10773892774
IDEA Center; Grossmont Union High,,2446.784046692607,2443.6592885375494,4890.443335230157
